Recipe Name,Calories,Personal Points,Image URL,Recipe Keys,Summary,URL
Hummus Recipe,Cals:252,3,https://www.skinnytaste.com/wp-content/uploads/2023/08/Hummus-8.jpg,"DF, HF, Q, V",This quick and easy blender hummus comes out super creamy. It’s so easy to make from scratch that you’ll never buy it pre-made again!,https://www.skinnytaste.com/hummus/
Instant Pot Chicken Noodle Soup,Cals:223,2,https://www.skinnytaste.com/wp-content/uploads/2023/08/Instant-Pot-Chicken-Noodle-Soup-7.jpg,"DF, KF, MP, PC",Enjoy this quick and easy Instant Pot Chicken Noodle Soup on a cold day or when you’re feeling under the weather. It’s so comforting!,https://www.skinnytaste.com/instant-pot-chicken-noodle-soup/
Roasted Broccoli,Cals:124,2,https://www.skinnytaste.com/wp-content/uploads/2010/03/Roasted-Broccoli-with-Smashed-Garlic-4.jpg,"DF, GF, LC, Q, V","Easy, oven-roasted broccoli with smashed garlic makes a great side dish that goes well with just about everything from chicken, pork chops, steaks and more! Made with just 5 ingredients.",https://www.skinnytaste.com/roasted-broccoli-with-smashed-garlic/
21 Healthy Rice Bowl Recipes,,,https://www.skinnytaste.com/wp-content/uploads/2023/06/ricce-bowl-recipes.png,"HP, MP, Q","I'm all about the convenience of canned fish like salmon and tuna. This easy rice bowl recipe is inspired by my favorite spicy salmon sushi roll. It's the ultimate high-protein lunch that's easy on the wallet, too.",https://www.skinnytaste.com/rice-bowl-recipes/
Air Fryer Fish Sticks,Cals:294,5,https://www.skinnytaste.com/wp-content/uploads/2023/08/Air-Fryer-Fish-Sticks-9.jpg,"AF, FM, GF, HP, KF, MP","Once you make air fryer fish sticks from scratch, you’ll never deep fry them again! Perfect with homemade tartar sauce.",https://www.skinnytaste.com/fish-sticks-in-air-fryer/
Free 7 Day Healthy Meal Plan (August 14-20),,,https://www.skinnytaste.com/wp-content/uploads/2023/08/Week_394_Aug-14-Aug-20.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-august-14-20/
Zucchini Gnocchi,Cals:216,3,https://www.skinnytaste.com/wp-content/uploads/2023/07/Zucchini-Gnocchi-8-1.jpg,"GF, V","There are no potatoes in this homemade Zucchini Gnocchi. It’s mostly zucchini with a little flour and cheese, pan-fried with marinara sauce. Delish!",https://www.skinnytaste.com/zucchini-gnocchi/
Shrimp Quesadilla,Cals:299,7,https://www.skinnytaste.com/wp-content/uploads/2023/07/Shrimp-Quesadilla-6.jpg,"GF, HP, HF, Q",Enjoy this protein-packed Shrimp Quesadilla recipe bursting with savory flavors – an ideal choice for a light and satisfying dinner or lunch.,https://www.skinnytaste.com/shrimp-quesadilla/
Free 7 Day Healthy Meal Plan (July 31-August 6),,,https://www.skinnytaste.com/wp-content/uploads/2023/07/Week_392_July-31-Aug-6.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-july-31-august-6/
Ratatouille with Farro,Cals:243,5,https://www.skinnytaste.com/wp-content/uploads/2023/08/RatatouillewithFarro-16.jpg,"DF, FM, HF, V","Ratatouille with Farro is loaded with summer vegetables, like tomatoes, zucchini, bell peppers, and eggplant. Enjoy it as a vegetarian main or as a side dish with a protein.",https://www.skinnytaste.com/ratatouille-with-farro/
Strawberry Swiss Roll,Cals:153,5,https://www.skinnytaste.com/wp-content/uploads/2023/07/Strawberry-Roll-9.jpg,,"A Strawberry Swiss Roll is a classic dessert that offers a delightful combination of sponge cake, fresh strawberries, and cream, perfect for spring and summer when strawberries are at their peak.",https://www.skinnytaste.com/strawberry-swiss-roll/
Free 7 Day Healthy Meal Plan (August 7-13),,,https://www.skinnytaste.com/wp-content/uploads/2023/08/Week_393_Aug-7-Aug-13.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-august-7-13/
Chicken Eggplant Parmesan,Cals:473,6,https://www.skinnytaste.com/wp-content/uploads/2023/07/Chicken-Eggplant-Parmesan-9.jpg,"AF, HP","Chicken Eggplant Parmesan is made with breaded, air-fried (or baked) chicken breast and topped with a simple eggplant marinara sauce and fresh mozzarella. It’s high in protein and delicious!",https://www.skinnytaste.com/chicken-eggplant-parmesan/
Air Fryer Asian Meatballs,Cals:483,10,https://www.skinnytaste.com/wp-content/uploads/2023/07/Asian-Meatball-Rice-Bowls-7.jpg,"AF, DF, FM, HP, HF, MP",Air Fryer Asian Turkey Meatballs with rice and edamame is a healthy meal for dinner or lunch and great for meal prep!,https://www.skinnytaste.com/air-fryer-asian-meatballs/
Gazpacho,Cals:116,2,https://www.skinnytaste.com/wp-content/uploads/2023/07/230718_gazpacho-14.jpg,"DF, V","Gazpacho, a chilled soup made with fresh tomatoes, cucumbers, and bell peppers, is a delicious way to stay cool and hydrated during the hot summer months.",https://www.skinnytaste.com/gazpacho/
Zucchini Pancakes,Cals:120,2,https://www.skinnytaste.com/wp-content/uploads/2008/07/ZuchiniPancakes-06.jpg,"LC, V","Like potato pancakes but with fewer carbs, these savory Zucchini Pancakes are the perfect side dish with grilled chicken or meat.",https://www.skinnytaste.com/zucchini-pancakes-225-pts/
Corn Salsa,Cals:57,0,https://www.skinnytaste.com/wp-content/uploads/2019/02/Corn-Salsa-with-Lime-5.jpg,"DF, GF, LC, Q, V","This easycorn salsamade with lime, cilantro, and tomatoes is perfect with chips or served over yourfavorite tacosorburrito bowls!",https://www.skinnytaste.com/corn-salsa-with-lime/
Zucchini Bread,Cals:144,5,https://www.skinnytaste.com/wp-content/uploads/2022/08/Zucchini-Bread-4-1.jpg,"DF, FM, GF, KF, V","This moist and delicious Zucchini Bread recipe with walnuts, cinnamon, and vanilla, is made lighter with applesauce, perfect for breakfast or snack.",https://www.skinnytaste.com/zucchini-bread/
Spicy Salmon Sushi Pizza,Cals:403,8,https://www.skinnytaste.com/wp-content/uploads/2023/07/Spicy-Salmon-Sushi-Pizza-7.jpg,"AF, DF, GF, HP","I'm obsessed with this spicy salmon sushi pizza made with spicy mayo, sushi- grade salmon, avocado, scallions, and jalapeño on a tortilla crust.",https://www.skinnytaste.com/spicy-salmon-sushi-pizza/
Air Fryer Pork Chops,Cals:378,2,https://www.skinnytaste.com/wp-content/uploads/2017/09/Breaded-Pork-Chops-in-the-Air-Fryer-1-7.jpg,"AF, DF, GF, KF, Q","The best, crispy Air Fryer Boneless Pork Chops! So moist and juicy on the inside with a golden and crisp exterior.",https://www.skinnytaste.com/crispy-breaded-pork-chops-in-the-air-fryer/
Waffled Zucchini Fritters,Cals:75,2,https://www.skinnytaste.com/wp-content/uploads/2023/07/Savory-Zucchini-Waffle-Recipe-7.jpg,"DF, GF, LC, V","Dust off that waffle iron and make these savory zucchini waffles! It’s easy, super delicious, and a great way to use summer zucchini.",https://www.skinnytaste.com/zucchini-waffles/
Pupusas with Black Beans,Cals:220,6,https://www.skinnytaste.com/wp-content/uploads/2023/07/Pupusas-11.jpg,"DF, FM, GF, HF, V","Pupusas are stuffed tortillas made with corn masa, cheese and beans served with curtido. They’re easy to customize with any filling you wish.",https://www.skinnytaste.com/pupusas/
Free 7 Day Healthy Meal Plan (July 17-23),,,https://www.skinnytaste.com/wp-content/uploads/2023/07/Week_390_July-17-July-23.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-july-17-23/
Free 7 Day Healthy Meal Plan (July 24-30),,,https://www.skinnytaste.com/wp-content/uploads/2023/07/Week_391_July-24-July-30.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-july-24-30/
Free 7 Day Healthy Meal Plan (July 10-16),,,https://www.skinnytaste.com/wp-content/uploads/2023/07/Week_389_July-10-July-16.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-july-10-16/
20 Best Burger Recipes,,,https://www.skinnytaste.com/wp-content/uploads/2023/05/20-best-burger-recipes.png,HP,"Why top your burgers with cheese when you can stuff them with it? These “inside out” turkey burgers are filled with melty, gooey low-fat cheddar, for a lighter hamburger that tastes just as indulgent!",https://www.skinnytaste.com/burger-recipes/
Free 7 Day Healthy Meal Plan (July 3-9),,,https://www.skinnytaste.com/wp-content/uploads/2023/06/Week_388_July-3-July-9.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-july-3-9/
Homemade Ferrero Rocher (Hazelnut) Date Balls,Cals:90,5,https://www.skinnytaste.com/wp-content/uploads/2023/06/HomemadeFerreroRocherHazelnutDateBalls-07.jpg,"DF, GF, Q, V","Healthy Chocolate Hazelnut Date Balls, inspired by Ferrero Rocher are made with hazelnuts, dates, pumpkin puree, and cocoa powder.",https://www.skinnytaste.com/homemade-ferrero-rocher-hazelnut-date-balls/
Grilled Chicken Sandwich,Cals:406,6,https://www.skinnytaste.com/wp-content/uploads/2023/06/Grilled-Chicken-Sandwiches-6-1.jpg,"DF, HP, KF","My favorite Grilled Chicken Sandwich, made with tender, pickle-brined grilled chicken breast with a zesty slaw and spicy mayo – so good!!",https://www.skinnytaste.com/grilled-chicken-sandwich/
Chicken Burger,Cals:284,2,https://www.skinnytaste.com/wp-content/uploads/2023/06/Chicken_Burger-06.jpg,"DF, FM, HP, MP, Q","These moist and juicy ground chicken burgers are perfect on a bun with all the fixins, in a lettuce wrap for a carb-free meal, or in a bowl for meal prep!",https://www.skinnytaste.com/chicken-burger/
Grilled Pesto Chicken and Tomato Kebabs,Cals:147,2,https://www.skinnytaste.com/wp-content/uploads/2013/06/Grilled-Pesto-Chicken-and-Tomato-Kebabs-7.jpg,"GF, LC","Grilled Pesto Chicken and Tomato Kebabs are easy to make with boneless skinless chicken breast, tomatoes and basil pesto.",https://www.skinnytaste.com/grilled-pesto-chicken-and-tomato-kebabs/
Coleslaw Recipe,Cals:73,2,https://www.skinnytaste.com/wp-content/uploads/2023/06/Cole-Slaw-7.jpg,"DF, GF, LC, Q, V, W","This homemade coleslaw recipe is the perfect side to pair with anything you’re grilling this summer! Serve it as a side dish with sandwiches, burgers, hot dogs, and more.",https://www.skinnytaste.com/coleslaw-recipe/
Free 7 Day Healthy Meal Plan (June 26-July 2),,,https://www.skinnytaste.com/wp-content/uploads/2023/06/Week-387_June-26-July-2.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-june-26-july-2/
Grilled Pineapple,Cals:102,4,https://www.skinnytaste.com/wp-content/uploads/2011/06/Grilled-Pineapple-4.jpg,"DF, GF, KF, V","Quick and easy Grilled Pineapple with honey, lime juice, and cinnamon is perfect for summer dessert or backyard parties!",https://www.skinnytaste.com/grilled-pineapple-2-pts/
Free 7 Day Healthy Meal Plan (June 19-25),,,https://www.skinnytaste.com/wp-content/uploads/2023/06/Week-386_June-19-June-25.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-june-19-25/
Smash Tacos,Cals:452,7,https://www.skinnytaste.com/wp-content/uploads/2023/06/Smashed-Taco-10.jpg,"KF, Q",I hopped on the smashed taco trend and made these turkey smash burger tacos a little lighter than what I’ve seen on TikTok. They came out delicious!,https://www.skinnytaste.com/smash-taco-recipe/
Loaded Egg Muffins,Cals:165,2,https://www.skinnytaste.com/wp-content/uploads/2016/02/Loaded-Baked-Omelet-Muffins-4.jpg,"FM, GF, LC, MP, Q","These easy, loaded egg muffins can be filled with any combination of veggies, cheese and meats. Easy breakfast to make ahead for the week.",https://www.skinnytaste.com/loaded-baked-omelet-muffins/
Mediterranean Meatballs,Cals:466,11,https://www.skinnytaste.com/wp-content/uploads/2023/06/Mediterranean-Meatball-Bowl-8.jpg,"AF, GF, MP","Mediterranean Meatballs made with flavorful ground turkey meatballs served over Israeli couscous and a bright, lemony cucumber tomato salad. Make them in theair fryeror oven!",https://www.skinnytaste.com/mediterranean-meatballs/
Veggie Kabobs,Cals:105,1,https://www.skinnytaste.com/wp-content/uploads/2023/06/Veggie-Kabobs-7.jpg,"DF, GF, Q, V","These colorful, fresh veggie kabobs are perfect for throwing on the grill when you need a quick side dish.",https://www.skinnytaste.com/veggie-kabobs/
Chipotle Chicken,Cals:216,0,https://www.skinnytaste.com/wp-content/uploads/2023/06/Chipotle-Chicken-Thighs-5.jpg,"AF, DF, GF, HP, LC, MP, Q","This quick and easy chipotle chicken recipe is made with boneless, skinless chicken thighs (or breasts). It's smoky, spicy, and delicious for homemade burrito bowls, tacos, quesadillas, and more.",https://www.skinnytaste.com/chipotle-chicken/
How To Cook Quinoa,Cals:172,4,https://www.skinnytaste.com/wp-content/uploads/2019/08/How-To-Make-Perfect-Quinoa-in-the-Instant-Pot-9.jpg,"DF, GF, Q, V","A foolproof recipe for making perfect, fluffy quinoa for adding to salads, stir-fries, bowls, and even breakfast dishes and so much more.",https://www.skinnytaste.com/basic-quinoa-recipe-4-pts/
Free 7 Day Healthy Meal Plan (June 12-18),,,https://www.skinnytaste.com/wp-content/uploads/2023/06/Week-385_June-12-June-18.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-june-12-18/
Italian Pasta Salad,Cals:237,7,https://www.skinnytaste.com/wp-content/uploads/2023/06/Italian-Pasta-Salad-4.jpg,GF,"Cold Italian pasta salad packed with colorful veggies, such as broccoli, tomatoes, and cucumbers, plus Italian favorites like salami, cheese, pepperoncini, and olives.",https://www.skinnytaste.com/italian-pasta-salad/
Protein Bagels with Cottage Cheese,Cals:164,5,https://www.skinnytaste.com/wp-content/uploads/2023/06/Protein-Bagels-4.jpg,"AF, FM, GF, HP, Q, V",Whip up a batch of these quick and easy High Protein Bagels with Cottage Cheese for breakfast or lunch in less than 30 minutes – they come out perfect!,https://www.skinnytaste.com/protein-bagels/
Mexican-Inspired Grilled Corn Salad with Cotija,Cals:117,2,https://www.skinnytaste.com/wp-content/uploads/2022/06/Grilled-Corn-Salad-with-Cojita-7.jpg,"GF, Q, V","Grilled Corn Salad is inspired by Mexican street corn (elote) and made with chili- lime seasoning, scallions, and cotija cheese with no mayo.",https://www.skinnytaste.com/mexican-inspired-grilled-corn-salad-with-cotija/
Greek Cottage Cheese Bowl,Cals:186,7,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny_Taste_Greek_Cottage_cheese_bowl-7.jpg,"GF, HP, LC, Q, V",This Greek Cottage Cheese Bowl is an easy high-protein breakfast or lunch that is fresh and flavorful and doesn’t require any cooking.,https://www.skinnytaste.com/greek-cottage-cheese-bowl/
Grilled Asparagus,Cals:57,1,https://www.skinnytaste.com/wp-content/uploads/2023/06/Grilled-Asparagus-2.jpg,"DF, GF, LC, Q, V","For the best grilled asparagus, marinate them in a simple balsamic dressing, then grill until charred. An easy, healthy side dish!",https://www.skinnytaste.com/grilled-asparagus/
27 Amazing Father’s Day Gifts That He’ll Actually Use,,,https://www.skinnytaste.com/wp-content/uploads/2023/05/fathersday.png,,"I’ve rounded up some of the best Father’s Day gifts for the men in your life based on things I would personally give. No matter what the guy in your life is into, there’s something for them here.",https://www.skinnytaste.com/best-fathers-day-gifts/
Veggie Tray,,,https://www.skinnytaste.com/wp-content/uploads/2023/07/Vegetable-Charcuterie-Board.jpg,"Q, V",This modernized take on the veggie tray brings more visual appeal to the party staple. Like a vegetable charcuterie board with dips and more!,https://www.skinnytaste.com/vegetable-charcuterie-board/
Macaroni Salad with Tomatoes,Cals:125,4,https://www.skinnytaste.com/wp-content/uploads/2009/05/Macaroni-Salad-with-Tomatoes-8.jpg,"GF, KF, Q, V","This is the BEST Macaroni Salad recipe with tomatoes and black olives, the perfect side dish for all your summer BBQs.",https://www.skinnytaste.com/macaroni-salad-with-tomatoes/
Cheesy Stuffed Chicken Breast with Zucchini,Cals:429,7,https://www.skinnytaste.com/wp-content/uploads/2023/05/Cheesy-Stuffed-Chicken-Breast-with-Zucchini-8.jpg,"FM, GF, HP, LC","These Cheesy Stuffed Chicken Breasts with zucchini, cheddar cheese, and cream cheese are delicious and perfect if you're looking for a high protein dinner idea.",https://www.skinnytaste.com/cheesy-stuffed-chicken-breast-with-zucchini/
Blackened Grilled Salmon Skewers,Cals:199,0,https://www.skinnytaste.com/wp-content/uploads/2023/05/blackened-salmon-skewers-3-2.jpg,"DF, GF, HP, HF, LC, W","You’ll be making these healthy, grilled Blackened Salmon Skewers all summer long! They're spicy, smoky, and delicious.",https://www.skinnytaste.com/blackened-grilled-salmon-skewers/
Lamb Keema with Peas,Cals:240,13,https://www.skinnytaste.com/wp-content/uploads/2009/05/lamb-kheema-07.jpg,"DF, FM, GF, LC","Keema is a traditional Indian dish made of spiced ground meat, onion, and usually peas or potatoes.",https://www.skinnytaste.com/lamb-kheema-with-peas/
Pickled Red Onions,Cals:16,0,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny-taste-pickled-onions-07.jpg,"DF, GF, LC, V","This easy pickled red onion recipe is delicious and versatile. The pickled onions add a tangy, slightly sweet, and crunchy element to steaks, sandwiches, tacos, burrito bowls and more!",https://www.skinnytaste.com/pickled-red-onions/
How To Grill Corn on The Cob,Cals:77,0,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny-taste-how-to-grill-corn-on-the-cob-01.jpg,"DF, GF, KF, V","Grilling corn is an easy, classic summer side dish and a great addition to summer barbecues, camping trips and gatherings. Here's two ways to grill delicious corn on the cob!",https://www.skinnytaste.com/how-to-grill-corn-on-the-cobb/
Chicken Summer Rolls,Cals:299,4,https://www.skinnytaste.com/wp-content/uploads/2023/05/Chicken-Summer-Rolls-9.jpg,"DF, HP",These ground chicken summer rolls with hoisin sauce are fresh and light with a wonderful combination of textures and flavors.,https://www.skinnytaste.com/chicken-summer-rolls/
Free 7 Day Healthy Meal Plan (June 5-11),,,https://www.skinnytaste.com/wp-content/uploads/2023/06/Week-384_June-5-June-11.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-june-5-11/
Cilantro Lime Shrimp,Cals:119,1,https://www.skinnytaste.com/wp-content/uploads/2018/01/Cilantro-Lime-Shrimp-6.jpg,"DF, GF, HP, LC, Q, W","Quick and easy, Cilantro Lime Shrimp is bursting with flavor – and it takes just minutes to make!",https://www.skinnytaste.com/cilantro-lime-shrimp/
Free 7 Day Healthy Meal Plan (May 29-June 4),,,https://www.skinnytaste.com/wp-content/uploads/2023/05/Week_383_May-29_June-4.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-may-29-june-4/
The Best Grilled Chicken Breast,Cals:339,2,https://www.skinnytaste.com/wp-content/uploads/2023/05/Grilled-Chicken-Breast-7.jpg,"DF, GF, HP, LC, MP, W","My go-to recipe for grilled chicken breast recipe, it comes out so juicy and flavorful, perfect over salads, sandwiches, or for meal prep!",https://www.skinnytaste.com/grilled-chicken-breast/
Broccoli and Cheese Egg Muffins,Cals:167,2,https://www.skinnytaste.com/wp-content/uploads/2013/04/Broccoli-and-Cheese-Egg-Muffins-10.jpg,"FM, GF, LC, MP, Q, V","I love making a batch of these easy make-ahead, high-protein Broccoli and Cheese Egg Muffins for meal prep or breakfast on the go.",https://www.skinnytaste.com/broccoli-and-cheese-mini-egg-omelets-2/
Blueberry Galette,Cals:155,5,https://www.skinnytaste.com/wp-content/uploads/2023/05/Blueberry-Galette-8.jpg,"DF, KF, V",This easy blueberry galette is the perfect dessert to bake when fresh summer blueberries are in season or any time of the year. Using refrigerated pie dough makes it even faster!,https://www.skinnytaste.com/blueberry-galette/
Air Fryer Sweet Potato Fries,Cals:221,2,https://www.skinnytaste.com/wp-content/uploads/2017/12/sweetpotatofries-07.jpg,"AF, DF, GF, HF, KF, Q, V, W","Crispy air fryer sweet potato fries are delicious and healthier, made with just a small amount of oil!",https://www.skinnytaste.com/crispy-air-fryer-sweet-potato-fries/
Creamy Cucumber Salad,Cals:60,1,https://www.skinnytaste.com/wp-content/uploads/2023/05/Creamy-Cucumber-Salad-6.jpg,"GF, LC, Q, V","This four-ingredient Creamy Cucumber Salad recipe, made with Greek yogurt and fresh dill, is one of my family's favorite summer side dishes.",https://www.skinnytaste.com/creamy-cucumber-salad/
Grilled Potatoes,Cals:172,2,https://www.skinnytaste.com/wp-content/uploads/2012/06/grilled-potatoes.jpg,"DF, GF, KF, Q, V, W",These crispy grilled potatoes are golden brown and delicious! An easy summer side dish to go along with anything you're grilling!,https://www.skinnytaste.com/grilled-potatoes/
"Pesto Pasta with Arugula, Asparagus, Peas, and Pistachios",Cals:380,8,https://www.skinnytaste.com/wp-content/uploads/2023/05/Pesto-Pasta-Salad-7.jpg,"HF, V","This healthy Pesto Pasta with Arugula, Asparagus, Peas, and Pistachios is fresh, bright, and absolutely delicious!",https://www.skinnytaste.com/pesto-pasta/
Hot Dog Onions,Cals:64,1,https://www.skinnytaste.com/wp-content/uploads/2023/05/Hot-Dog-Onions-8.jpg,"DF, GF, LC, Q, V","Smoky, tangy, and delicious, this is my mom’s recipe for saucy Hot Dog Onions. They’re the best onions for hot dogs and only take about 15 minutes to make!",https://www.skinnytaste.com/hot-dog-onions/
Lentil Curry,Cals:216,0,https://www.skinnytaste.com/wp-content/uploads/2023/05/Lentil-Curry-7.jpg,"DF, GF, HF, MP, PC, V","This easy lentil curry made with curry powder, garam masala, and other spices is perfect over white rice or cauliflower rice as a vegetarian main dish or as a side with coconut chicken curry.",https://www.skinnytaste.com/lentil-curry/
High-Protein Cottage Cheese Veggie Dip with Za’atar,Cals:186,3,https://www.skinnytaste.com/wp-content/uploads/2023/05/High-Protein-Cottage-Cheese-Veggie-Dip-5.jpg,"GF, HP, HF, Q, V",High Protein Cottage Cheese Veggie Dip with Za'atar is a delicious and healthy snack that's easy to make and perfect for any time of day. A great way to get those veggies in!,https://www.skinnytaste.com/cottage-cheese-veggie-dip/
Creamy Orzo with Asparagus and Peas,Cals:423,11,https://www.skinnytaste.com/wp-content/uploads/2023/05/Creamy-Orzo-with-Asparagus-and-Peas-6-1.jpg,"DF, HF, V","This delicious, creamy orzo pasta dish with asparagus and peas is fresh, bright, and lemony – the perfect spring dinner. Plus, it’s vegan and dairy-free.",https://www.skinnytaste.com/creamy-orzo-with-asparagus-and-peas/
Free 7 Day Healthy Meal Plan (May 15-21),,,https://www.skinnytaste.com/wp-content/uploads/2023/05/Week_381_May-15_May-21.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-may-15-21/
Artichoke Dip,Cals:73.7,2,https://www.skinnytaste.com/wp-content/uploads/2010/12/Skinny-Artichoke-Dip-7.jpg,"GF, LC, Q, V","This homemade, hot artichoke dip is cheesy, creamy, and the perfect appetizer with pretzels, baked pita chips or tortilla chips.",https://www.skinnytaste.com/skinny-artichoke-dip/
Spicy Shrimp Francese with Calabrian Chili,Cals:256,4,https://www.skinnytaste.com/wp-content/uploads/2023/05/Spicy-Shrimp-Francese-with-Calabrian-Chili-7.jpg,"HP, LC",Spicy Shrimp Francese recipe with Calabrian Chili is a seafood dish combining traditional Italian Francese sauce with spicy Calabrian chili peppers.,https://www.skinnytaste.com/shrimp-francese/
Free 7 Day Healthy Meal Plan (May 22-28),,,https://www.skinnytaste.com/wp-content/uploads/2023/05/Week_382_May-22_May-28.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesincludemacrosand Weight Watchers points.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-may-22-28/
Pico de Gallo,Cals:36.5,0,https://www.skinnytaste.com/wp-content/uploads/2008/05/Pico-de-Gallo-8.jpg,"DF, GF, Q, V, W","Pico de gallo is a fresh salsa made from diced tomatoes, onion, and peppers, perfect for tacos, burritos, or to eat with chips!",https://www.skinnytaste.com/pico-de-gallo-salsa-0-pts/
English Muffin Breakfast Sandwich,Cals:242,5,https://www.skinnytaste.com/wp-content/uploads/2023/05/English-Muffin-Egg-Sandwich-8-2.jpg,"GF, HP, HF, KF, MP, Q","This easy English Muffin Breakfast Sandwich with egg, turkey bacon, and cheese is my go-to egg sandwich and the best way to start the morning!",https://www.skinnytaste.com/english-muffin-breakfast-sandwich/
High Protein Breakfast,,,https://www.skinnytaste.com/wp-content/uploads/2022/09/Lox-Eggs-and-Onions-2-1.jpg,HP,"This High-Protein Breakfast Quesadilla, with fluffy scrambled eggs, lean breakfast sausage, and cheese on tortillas, has over 30 grams of protein per serving! Perfect with salsa!",https://www.skinnytaste.com/high-protein-breakfast-ideas/
Best Shrimp Tacos with Spicy Sauce,Cals:288,6,https://www.skinnytaste.com/wp-content/uploads/2023/05/shrimp-tacos-1.jpg,"AF, GF, HP, Q","One of the most-loved Skinnytaste taco recipes! These shrimp tacos are spicy, creamy, crunchy, and ready in no time.",https://www.skinnytaste.com/shrimp-tacos/
Yogurt-Marinated Chicken,Cals:314,1,https://www.skinnytaste.com/wp-content/uploads/2023/05/Yogurt-Marinated-Chicken-5.jpg,"AF, GF, HP, LC",Easy Yogurt-Marinated Chicken made with grilled chicken thighs (or chicken breasts) made in a Greek yogurt marinade for the most tender chicken.,https://www.skinnytaste.com/yogurt-marinated-chicken/
Best Guacamole Recipe,Cals:93,2,https://www.skinnytaste.com/wp-content/uploads/2017/01/Guacamole-2.jpg,"DF, GF, LC, Q, V, W","This is the Best Guacamole Recipe, and it’s so easy to make! A healthy vegetarian dip to serve it with chips, tacos, tostones, and more.",https://www.skinnytaste.com/guacamole-recipe/
Best Chicken Enchilada Recipe,Cals:168,4,https://www.skinnytaste.com/wp-content/uploads/2023/05/Chicken-Enchiladas-2-2.jpg,"HF, KF","Craving restaurant-style enchiladas at home? This 5-star chicken enchilada recipe is easy, flavorful, and made with pantry staples.",https://www.skinnytaste.com/chicken-enchiladas/
Free 7 Day Healthy Meal Plan (May 8-14),,,https://www.skinnytaste.com/wp-content/uploads/2023/05/Week_380_May-8_May-14.jpg,,"A free 7-day, flexibleweight loss meal planincludingbreakfast,lunchanddinner ideasand a shopping  list.All recipesinclude macros and Weight Watchers points.",https://www.skinnytaste.com/7-day-healthy-meal-plan-may-8/
Greek Tofu Bowls,Cals:485,8,https://www.skinnytaste.com/wp-content/uploads/2023/05/Greek-Tofu-Bowl-5.jpg,"GF, HP, HF, MP, V","These Greek Tofu Bowls feature crunchy and delicious breaded tofu cutlets over a bed of fresh, crispy veggies, all in a light dressing.",https://www.skinnytaste.com/greek-tofu-bowl/
